food,water_in_liter,electric_in_kwh,internet_in_gb,cloth_wash_in_kg,cost_rupiah
Sayur lodeh,2.20,1.00,0.50,3.30,50600.0
Gado Gado,2.20,1.00,0.50,3.30,49600.0
Rawon,2.20,1.00,0.50,3.30,56600.0
Ketoprak,2.20,1.00,0.50,3.30,49100.0
Siomay,2.20,1.00,0.50,3.30,45600.0
Nasi Goreng,2.40,1.00,0.50,3.30,51800.0
Indomie,2.40,1.00,0.50,3.30,38800.0
Bakso ayam,2.40,1.00,0.50,3.30,48800.0
Sate,2.40,1.00,0.50,3.30,52800.0
Rendang,2.40,1.00,0.50,3.30,61800.0
Sayur lodeh,2.40,1.00,0.50,3.30,50800.0
Gado Gado,2.40,1.00,0.50,3.30,49800.0
Rawon,2.40,1.00,0.50,3.30,56800.0
Ketoprak,2.40,1.00,0.50,3.30,49300.0
Siomay,2.40,1.00,0.50,3.30,45800.0
Nasi Goreng,2.60,1.00,0.50,3.30,52000.0
Indomie,2.60,1.00,0.50,3.30,39000.0
Bakso ayam,2.60,1.00,0.50,3.30,49000.0
Sate,2.60,1.00,0.50,3.30,53000.0
Rendang,2.60,1.00,0.50,3.30,62000.0
Sayur lodeh,2.60,1.00,0.50,3.30,51000.0
Gado Gado,2.60,1.00,0.50,3.30,50000.0
Rawon,2.60,1.00,0.50,3.30,57000.0
Ketoprak,2.60,1.00,0.50,3.30,49500.0
Siomay,2.60,1.00,0.50,3.30,46000.0
Nasi Goreng,0.80,2.50,0.50,3.30,51550.0
Indomie,0.80,2.50,0.50,3.30,38550.0
Bakso ayam,0.80,2.50,0.50,3.30,48550.0
Sate,0.80,2.50,0.50,3.30,52550.0
Rendang,0.80,2.50,0.50,3.30,61550.0
Sayur lodeh,0.80,2.50,0.50,3.30,50550.0
Gado Gado,0.80,2.50,0.50,3.30,49550.0
Rawon,0.80,2.50,0.50,3.30,56550.0
Ketoprak,0.80,2.50,0.50,3.30,49050.0
Siomay,0.80,2.50,0.50,3.30,45550.0
Nasi Goreng,1.00,2.50,0.50,3.30,51750.0
Indomie,1.00,2.50,0.50,3.30,38750.0
Bakso ayam,1.00,2.50,0.50,3.30,48750.0
Sate,1.00,2.50,0.50,3.30,52750.0
Rendang,1.00,2.50,0.50,3.30,61750.0
Sayur lodeh,1.00,2.50,0.50,3.30,50750.0
Gado Gado,1.00,2.50,0.50,3.30,49750.0
Rawon,1.00,2.50,0.50,3.30,56750.0
Ketoprak,1.00,2.50,0.50,3.30,49250.0
Siomay,1.00,2.50,0.50,3.30,45750.0
Nasi Goreng,1.20,2.50,0.50,3.30,51950.0
Indomie,1.20,2.50,0.50,3.30,38950.0
Bakso ayam,1.20,2.50,0.50,3.30,48950.0
Sate,1.20,2.50,0.50,3.30,52950.0
Rendang,1.20,2.50,0.50,3.30,61950.0
Sayur lodeh,1.20,2.50,0.50,3.30,50950.0
Gado Gado,1.20,2.50,0.50,3.30,49950.0
Rawon,1.20,2.50,0.50,3.30,56950.0
Ketoprak,1.20,2.50,0.50,3.30,49450.0
Siomay,1.20,2.50,0.50,3.30,45950.0
Nasi Goreng,1.40,2.50,0.50,3.30,52150.0
Indomie,1.40,2.50,0.50,3.30,39150.0
Bakso ayam,1.40,2.50,0.50,3.30,49150.0
Sate,1.40,2.50,0.50,3.30,53150.0
Rendang,1.40,2.50,0.50,3.30,62150.0
Sayur lodeh,1.40,2.50,0.50,3.30,51150.0
Gado Gado,1.40,2.50,0.50,3.30,50150.0
Rawon,1.40,2.50,0.50,3.30,57150.0
Ketoprak,1.40,2.50,0.50,3.30,49650.0
Siomay,1.40,2.50,0.50,3.30,46150.0
Nasi Goreng,1.60,2.50,0.50,3.30,52350.0
Indomie,1.60,2.50,0.50,3.30,39350.0
Bakso ayam,1.60,2.50,0.50,3.30,49350.0
Sate,1.60,2.50,0.50,3.30,53350.0
Rendang,1.60,2.50,0.50,3.30,62350.0
Sayur lodeh,1.60,2.50,0.50,3.30,51350.0
Gado Gado,1.60,2.50,0.50,3.30,50350.0
Rawon,1.60,2.50,0.50,3.30,57350.0
Ketoprak,1.60,2.50,0.50,3.30,49850.0
Siomay,1.60,2.50,0.50,3.30,46350.0
Nasi Goreng,1.80,2.50,0.50,3.30,52550.0
Indomie,1.80,2.50,0.50,3.30,39550.0
Bakso ayam,1.80,2.50,0.50,3.30,49550.0
Sate,1.80,2.50,0.50,3.30,53550.0
Rendang,1.80,2.50,0.50,3.30,62550.0
Sayur lodeh,1.80,2.50,0.50,3.30,51550.0
Gado Gado,1.80,2.50,0.50,3.30,50550.0
Rawon,1.80,2.50,0.50,3.30,57550.0
Ketoprak,1.80,2.50,0.50,3.30,50050.0
Siomay,1.80,2.50,0.50,3.30,46550.0
Nasi Goreng,2.00,2.50,0.50,3.30,52750.0
Indomie,2.00,2.50,0.50,3.30,39750.0
Bakso ayam,2.00,2.50,0.50,3.30,49750.0
Sate,2.00,2.50,0.50,3.30,53750.0
Rendang,2.00,2.50,0.50,3.30,62750.0
Sayur lodeh,2.00,2.50,0.50,3.30,51750.0
Gado Gado,2.00,2.50,0.50,3.30,50750.0
Rawon,2.00,2.50,0.50,3.30,57750.0
Ketoprak,2.00,2.50,0.50,3.30,50250.0
Siomay,2.00,2.50,0.50,3.30,46750.0
Nasi Goreng,2.20,2.50,0.50,3.30,52950.0
Indomie,2.20,2.50,0.50,3.30,39950.0
Bakso ayam,2.20,2.50,0.50,3.30,49950.0
Sate,2.20,2.50,0.50,3.30,53950.0
Rendang,2.20,2.50,0.50,3.30,62950.0
Sayur lodeh,2.20,2.50,0.50,3.30,51950.0
Gado Gado,2.20,2.50,0.50,3.30,50950.0
Rawon,2.20,2.50,0.50,3.30,57950.0
Ketoprak,2.20,2.50,0.50,3.30,50450.0
Siomay,2.20,2.50,0.50,3.30,46950.0
Nasi Goreng,2.40,2.50,0.50,3.30,53150.0
Indomie,2.40,2.50,0.50,3.30,40150.0
Bakso ayam,2.40,2.50,0.50,3.30,50150.0
Sate,2.40,2.50,0.50,3.30,54150.0
Rendang,2.40,2.50,0.50,3.30,63150.0
Sayur lodeh,2.40,2.50,0.50,3.30,52150.0
Gado Gado,2.40,2.50,0.50,3.30,51150.0
Rawon,2.40,2.50,0.50,3.30,58150.0
Ketoprak,2.40,2.50,0.50,3.30,50650.0
Siomay,2.40,2.50,0.50,3.30,47150.0
Nasi Goreng,2.60,2.50,0.50,3.30,53350.0
Indomie,2.60,2.50,0.50,3.30,40350.0
Bakso ayam,2.60,2.50,0.50,3.30,50350.0
Sate,2.60,2.50,0.50,3.30,54350.0
Rendang,2.60,2.50,0.50,3.30,63350.0
Sayur lodeh,2.60,2.50,0.50,3.30,52350.0
Gado Gado,2.60,2.50,0.50,3.30,51350.0
Rawon,2.60,2.50,0.50,3.30,58350.0
Ketoprak,2.60,2.50,0.50,3.30,50850.0
Siomay,2.60,2.50,0.50,3.30,47350.0
Nasi Goreng,0.80,4.00,0.50,3.30,52900.0
Indomie,0.80,4.00,0.50,3.30,39900.0
Bakso ayam,0.80,4.00,0.50,3.30,49900.0
Sate,0.80,4.00,0.50,3.30,53900.0
Rendang,0.80,4.00,0.50,3.30,62900.0
Sayur lodeh,0.80,4.00,0.50,3.30,51900.0
Gado Gado,0.80,4.00,0.50,3.30,50900.0
Rawon,0.80,4.00,0.50,3.30,57900.0
Ketoprak,0.80,4.00,0.50,3.30,50400.0
Siomay,0.80,4.00,0.50,3.30,46900.0
Nasi Goreng,1.00,4.00,0.50,3.30,53100.0
Indomie,1.00,4.00,0.50,3.30,40100.0
Bakso ayam,1.00,4.00,0.50,3.30,50100.0
Sate,1.00,4.00,0.50,3.30,54100.0
Rendang,1.00,4.00,0.50,3.30,63100.0
Sayur lodeh,1.00,4.00,0.50,3.30,52100.0
Gado Gado,1.00,4.00,0.50,3.30,51100.0
Rawon,1.00,4.00,0.50,3.30,58100.0
Ketoprak,1.00,4.00,0.50,3.30,50600.0
Siomay,1.00,4.00,0.50,3.30,47100.0
Nasi Goreng,1.20,4.00,0.50,3.30,53300.0
Indomie,1.20,4.00,0.50,3.30,40300.0
Bakso ayam,1.20,4.00,0.50,3.30,50300.0
Sate,1.20,4.00,0.50,3.30,54300.0
Rendang,1.20,4.00,0.50,3.30,63300.0
Sayur lodeh,1.20,4.00,0.50,3.30,52300.0
Gado Gado,1.20,4.00,0.50,3.30,51300.0
Rawon,1.20,4.00,0.50,3.30,58300.0
Ketoprak,1.20,4.00,0.50,3.30,50800.0
Siomay,1.20,4.00,0.50,3.30,47300.0
Nasi Goreng,1.40,4.00,0.50,3.30,53500.0
Indomie,1.40,4.00,0.50,3.30,40500.0
Bakso ayam,1.40,4.00,0.50,3.30,50500.0
Sate,1.40,4.00,0.50,3.30,54500.0
Rendang,1.40,4.00,0.50,3.30,63500.0
Sayur lodeh,1.40,4.00,0.50,3.30,52500.0
Gado Gado,1.40,4.00,0.50,3.30,51500.0
Rawon,1.40,4.00,0.50,3.30,58500.0
Ketoprak,1.40,4.00,0.50,3.30,51000.0
Siomay,1.40,4.00,0.50,3.30,47500.0
Nasi Goreng,1.60,4.00,0.50,3.30,53700.0
Indomie,1.60,4.00,0.50,3.30,40700.0
Bakso ayam,1.60,4.00,0.50,3.30,50700.0
Sate,1.60,4.00,0.50,3.30,54700.0
Rendang,1.60,4.00,0.50,3.30,63700.0
Sayur lodeh,1.60,4.00,0.50,3.30,52700.0
Gado Gado,1.60,4.00,0.50,3.30,51700.0
Rawon,1.60,4.00,0.50,3.30,58700.0
Ketoprak,1.60,4.00,0.50,3.30,51200.0
Siomay,1.60,4.00,0.50,3.30,47700.0
Nasi Goreng,1.80,4.00,0.50,3.30,53900.0
Indomie,1.80,4.00,0.50,3.30,40900.0
Bakso ayam,1.80,4.00,0.50,3.30,50900.0
Sate,1.80,4.00,0.50,3.30,54900.0
Rendang,1.80,4.00,0.50,3.30,63900.0
Sayur lodeh,1.80,4.00,0.50,3.30,52900.0
Gado Gado,1.80,4.00,0.50,3.30,51900.0
Rawon,1.80,4.00,0.50,3.30,58900.0
Ketoprak,1.80,4.00,0.50,3.30,51400.0
Siomay,1.80,4.00,0.50,3.30,47900.0
Nasi Goreng,2.00,4.00,0.50,3.30,54100.0
Indomie,2.00,4.00,0.50,3.30,41100.0
Bakso ayam,2.00,4.00,0.50,3.30,51100.0
Sate,2.00,4.00,0.50,3.30,55100.0
Rendang,2.00,4.00,0.50,3.30,64100.0
Sayur lodeh,2.00,4.00,0.50,3.30,53100.0
Gado Gado,2.00,4.00,0.50,3.30,52100.0
Rawon,2.00,4.00,0.50,3.30,59100.0
Ketoprak,2.00,4.00,0.50,3.30,51600.0
Siomay,2.00,4.00,0.50,3.30,48100.0
Nasi Goreng,2.20,4.00,0.50,3.30,54300.0
Indomie,2.20,4.00,0.50,3.30,41300.0
Bakso ayam,2.20,4.00,0.50,3.30,51300.0
Sate,2.20,4.00,0.50,3.30,55300.0
Rendang,2.20,4.00,0.50,3.30,64300.0
Sayur lodeh,2.20,4.00,0.50,3.30,53300.0
Gado Gado,2.20,4.00,0.50,3.30,52300.0
Rawon,2.20,4.00,0.50,3.30,59300.0
Ketoprak,2.20,4.00,0.50,3.30,51800.0
Siomay,2.20,4.00,0.50,3.30,48300.0
Nasi Goreng,2.40,4.00,0.50,3.30,54500.0
Indomie,2.40,4.00,0.50,3.30,41500.0
Bakso ayam,2.40,4.00,0.50,3.30,51500.0
Sate,2.40,4.00,0.50,3.30,55500.0
Rendang,2.40,4.00,0.50,3.30,64500.0
Sayur lodeh,2.40,4.00,0.50,3.30,53500.0
Gado Gado,2.40,4.00,0.50,3.30,52500.0
Rawon,2.40,4.00,0.50,3.30,59500.0
Ketoprak,2.40,4.00,0.50,3.30,52000.0
Siomay,2.40,4.00,0.50,3.30,48500.0
Nasi Goreng,2.60,4.00,0.50,3.30,54700.0
Indomie,2.60,4.00,0.50,3.30,41700.0
Bakso ayam,2.60,4.00,0.50,3.30,51700.0
Sate,2.60,4.00,0.50,3.30,55700.0
Rendang,2.60,4.00,0.50,3.30,64700.0
Sayur lodeh,2.60,4.00,0.50,3.30,53700.0
Gado Gado,2.60,4.00,0.50,3.30,52700.0
Rawon,2.60,4.00,0.50,3.30,59700.0
Ketoprak,2.60,4.00,0.50,3.30,52200.0
Siomay,2.60,4.00,0.50,3.30,48700.0
Nasi Goreng,0.80,5.50,0.50,3.30,54250.0
Indomie,0.80,5.50,0.50,3.30,41250.0
Bakso ayam,0.80,5.50,0.50,3.30,51250.0
Sate,0.80,5.50,0.50,3.30,55250.0
Rendang,0.80,5.50,0.50,3.30,64250.0
Sayur lodeh,0.80,5.50,0.50,3.30,53250.0
Gado Gado,0.80,5.50,0.50,3.30,52250.0
Rawon,0.80,5.50,0.50,3.30,59250.0
Ketoprak,0.80,5.50,0.50,3.30,51750.0
Siomay,0.80,5.50,0.50,3.30,48250.0
Nasi Goreng,1.00,5.50,0.50,3.30,54450.0
Indomie,1.00,5.50,0.50,3.30,41450.0
Bakso ayam,1.00,5.50,0.50,3.30,51450.0
Sate,1.00,5.50,0.50,3.30,55450.0
Rendang,1.00,5.50,0.50,3.30,64450.0
Sayur lodeh,1.00,5.50,0.50,3.30,53450.0
Gado Gado,1.00,5.50,0.50,3.30,52450.0
Rawon,1.00,5.50,0.50,3.30,59450.0
Ketoprak,1.00,5.50,0.50,3.30,51950.0
Siomay,1.00,5.50,0.50,3.30,48450.0
Nasi Goreng,1.20,5.50,0.50,3.30,54650.0
Indomie,1.20,5.50,0.50,3.30,41650.0
Bakso ayam,1.20,5.50,0.50,3.30,51650.0
Sate,1.20,5.50,0.50,3.30,55650.0
Rendang,1.20,5.50,0.50,3.30,64650.0
Sayur lodeh,1.20,5.50,0.50,3.30,53650.0
Gado Gado,1.20,5.50,0.50,3.30,52650.0
Rawon,1.20,5.50,0.50,3.30,59650.0
Ketoprak,1.20,5.50,0.50,3.30,52150.0
Siomay,1.20,5.50,0.50,3.30,48650.0
Nasi Goreng,1.40,5.50,0.50,3.30,54850.0
Indomie,1.40,5.50,0.50,3.30,41850.0
Bakso ayam,1.40,5.50,0.50,3.30,51850.0
Sate,1.40,5.50,0.50,3.30,55850.0
Rendang,1.40,5.50,0.50,3.30,64850.0
Sayur lodeh,1.40,5.50,0.50,3.30,53850.0
Gado Gado,1.40,5.50,0.50,3.30,52850.0
Rawon,1.40,5.50,0.50,3.30,59850.0
Ketoprak,1.40,5.50,0.50,3.30,52350.0
Siomay,1.40,5.50,0.50,3.30,48850.0
Nasi Goreng,1.60,5.50,0.50,3.30,55050.0
Indomie,1.60,5.50,0.50,3.30,42050.0
Bakso ayam,1.60,5.50,0.50,3.30,52050.0
Sate,1.60,5.50,0.50,3.30,56050.0
Rendang,1.60,5.50,0.50,3.30,65050.0
Sayur lodeh,1.60,5.50,0.50,3.30,54050.0
Gado Gado,1.60,5.50,0.50,3.30,53050.0
Rawon,1.60,5.50,0.50,3.30,60050.0
Ketoprak,1.60,5.50,0.50,3.30,52550.0
Siomay,1.60,5.50,0.50,3.30,49050.0
Nasi Goreng,1.80,5.50,0.50,3.30,55250.0
Indomie,1.80,5.50,0.50,3.30,42250.0
Bakso ayam,1.80,5.50,0.50,3.30,52250.0
Sate,1.80,5.50,0.50,3.30,56250.0
Rendang,1.80,5.50,0.50,3.30,65250.0
Sayur lodeh,1.80,5.50,0.50,3.30,54250.0
Gado Gado,1.80,5.50,0.50,3.30,53250.0
Rawon,1.80,5.50,0.50,3.30,60250.0
Ketoprak,1.80,5.50,0.50,3.30,52750.0
Siomay,1.80,5.50,0.50,3.30,49250.0
Nasi Goreng,2.00,5.50,0.50,3.30,55450.0
Indomie,2.00,5.50,0.50,3.30,42450.0
Bakso ayam,2.00,5.50,0.50,3.30,52450.0
Sate,2.00,5.50,0.50,3.30,56450.0
Rendang,2.00,5.50,0.50,3.30,65450.0
Sayur lodeh,2.00,5.50,0.50,3.30,54450.0
Gado Gado,2.00,5.50,0.50,3.30,53450.0
Rawon,2.00,5.50,0.50,3.30,60450.0
Ketoprak,2.00,5.50,0.50,3.30,52950.0
Siomay,2.00,5.50,0.50,3.30,49450.0
Nasi Goreng,2.20,5.50,0.50,3.30,55650.0
Indomie,2.20,5.50,0.50,3.30,42650.0
Bakso ayam,2.20,5.50,0.50,3.30,52650.0
Sate,2.20,5.50,0.50,3.30,56650.0
Rendang,2.20,5.50,0.50,3.30,65650.0
Sayur lodeh,2.20,5.50,0.50,3.30,54650.0
Gado Gado,2.20,5.50,0.50,3.30,53650.0
Rawon,2.20,5.50,0.50,3.30,60650.0
Ketoprak,2.20,5.50,0.50,3.30,53150.0
Siomay,2.20,5.50,0.50,3.30,49650.0
Nasi Goreng,2.40,5.50,0.50,3.30,55850.0
Indomie,2.40,5.50,0.50,3.30,42850.0
Bakso ayam,2.40,5.50,0.50,3.30,52850.0
Sate,2.40,5.50,0.50,3.30,56850.0
Rendang,2.40,5.50,0.50,3.30,65850.0
Sayur lodeh,2.40,5.50,0.50,3.30,54850.0
Gado Gado,2.40,5.50,0.50,3.30,53850.0
Rawon,2.40,5.50,0.50,3.30,60850.0
Ketoprak,2.40,5.50,0.50,3.30,53350.0
Siomay,2.40,5.50,0.50,3.30,49850.0
Nasi Goreng,2.60,5.50,0.50,3.30,56050.0
Indomie,2.60,5.50,0.50,3.30,43050.0
Bakso ayam,2.60,5.50,0.50,3.30,53050.0
Sate,2.60,5.50,0.50,3.30,57050.0
Rendang,2.60,5.50,0.50,3.30,66050.0
Sayur lodeh,2.60,5.50,0.50,3.30,55050.0
Gado Gado,2.60,5.50,0.50,3.30,54050.0
Rawon,2.60,5.50,0.50,3.30,61050.0
Ketoprak,2.60,5.50,0.50,3.30,53550.0
Siomay,2.60,5.50,0.50,3.30,50050.0
Nasi Goreng,0.80,7.00,0.50,3.30,55600.0
Indomie,0.80,7.00,0.50,3.30,42600.0
Bakso ayam,0.80,7.00,0.50,3.30,52600.0
Sate,0.80,7.00,0.50,3.30,56600.0
Rendang,0.80,7.00,0.50,3.30,65600.0
Sayur lodeh,0.80,7.00,0.50,3.30,54600.0
Gado Gado,0.80,7.00,0.50,3.30,53600.0
Rawon,0.80,7.00,0.50,3.30,60600.0
Ketoprak,0.80,7.00,0.50,3.30,53100.0
Siomay,0.80,7.00,0.50,3.30,49600.0
Nasi Goreng,1.00,7.00,0.50,3.30,55800.0
Indomie,1.00,7.00,0.50,3.30,42800.0
Bakso ayam,1.00,7.00,0.50,3.30,52800.0
Sate,1.00,7.00,0.50,3.30,56800.0
Rendang,1.00,7.00,0.50,3.30,65800.0
Sayur lodeh,1.00,7.00,0.50,3.30,54800.0
Gado Gado,1.00,7.00,0.50,3.30,53800.0
Rawon,1.00,7.00,0.50,3.30,60800.0
Ketoprak,1.00,7.00,0.50,3.30,53300.0
Siomay,1.00,7.00,0.50,3.30,49800.0
Nasi Goreng,1.20,7.00,0.50,3.30,56000.0
Indomie,1.20,7.00,0.50,3.30,43000.0
Bakso ayam,1.20,7.00,0.50,3.30,53000.0
Sate,1.20,7.00,0.50,3.30,57000.0
Rendang,1.20,7.00,0.50,3.30,66000.0
Sayur lodeh,1.20,7.00,0.50,3.30,55000.0
Gado Gado,1.20,7.00,0.50,3.30,54000.0
Rawon,1.20,7.00,0.50,3.30,61000.0
Ketoprak,1.20,7.00,0.50,3.30,53500.0
Siomay,1.20,7.00,0.50,3.30,50000.0
Nasi Goreng,1.40,7.00,0.50,3.30,56200.0
Indomie,1.40,7.00,0.50,3.30,43200.0
Bakso ayam,1.40,7.00,0.50,3.30,53200.0
Sate,1.40,7.00,0.50,3.30,57200.0
Rendang,1.40,7.00,0.50,3.30,66200.0
Sayur lodeh,1.40,7.00,0.50,3.30,55200.0
Gado Gado,1.40,7.00,0.50,3.30,54200.0
Rawon,1.40,7.00,0.50,3.30,61200.0
Ketoprak,1.40,7.00,0.50,3.30,53700.0
Siomay,1.40,7.00,0.50,3.30,50200.0
Nasi Goreng,1.60,7.00,0.50,3.30,56400.0
Indomie,1.60,7.00,0.50,3.30,43400.0
Bakso ayam,1.60,7.00,0.50,3.30,53400.0
Sate,1.60,7.00,0.50,3.30,57400.0
Rendang,1.60,7.00,0.50,3.30,66400.0
Sayur lodeh,1.60,7.00,0.50,3.30,55400.0
Gado Gado,1.60,7.00,0.50,3.30,54400.0
Rawon,1.60,7.00,0.50,3.30,61400.0
Ketoprak,1.60,7.00,0.50,3.30,53900.0
Siomay,1.60,7.00,0.50,3.30,50400.0
Nasi Goreng,1.80,7.00,0.50,3.30,56600.0
Indomie,1.80,7.00,0.50,3.30,43600.0
Bakso ayam,1.80,7.00,0.50,3.30,53600.0
Sate,1.80,7.00,0.50,3.30,57600.0
Rendang,1.80,7.00,0.50,3.30,66600.0
Sayur lodeh,1.80,7.00,0.50,3.30,55600.0
Gado Gado,1.80,7.00,0.50,3.30,54600.0
Rawon,1.80,7.00,0.50,3.30,61600.0
Ketoprak,1.80,7.00,0.50,3.30,54100.0
Siomay,1.80,7.00,0.50,3.30,50600.0
Nasi Goreng,2.00,7.00,0.50,3.30,56800.0
Indomie,2.00,7.00,0.50,3.30,43800.0
Bakso ayam,2.00,7.00,0.50,3.30,53800.0
Sate,2.00,7.00,0.50,3.30,57800.0
Rendang,2.00,7.00,0.50,3.30,66800.0
Sayur lodeh,2.00,7.00,0.50,3.30,55800.0
Gado Gado,2.00,7.00,0.50,3.30,54800.0
Rawon,2.00,7.00,0.50,3.30,61800.0
Ketoprak,2.00,7.00,0.50,3.30,54300.0
Siomay,2.00,7.00,0.50,3.30,50800.0
Nasi Goreng,2.20,7.00,0.50,3.30,57000.0
Indomie,2.20,7.00,0.50,3.30,44000.0
Bakso ayam,2.20,7.00,0.50,3.30,54000.0
Sate,2.20,7.00,0.50,3.30,58000.0
Rendang,2.20,7.00,0.50,3.30,67000.0
Sayur lodeh,2.20,7.00,0.50,3.30,56000.0
Gado Gado,2.20,7.00,0.50,3.30,55000.0
Rawon,2.20,7.00,0.50,3.30,62000.0
Ketoprak,2.20,7.00,0.50,3.30,54500.0
Siomay,2.20,7.00,0.50,3.30,51000.0
Nasi Goreng,2.40,7.00,0.50,3.30,57200.0
Indomie,2.40,7.00,0.50,3.30,44200.0
Bakso ayam,2.40,7.00,0.50,3.30,54200.0
Sate,2.40,7.00,0.50,3.30,58200.0
Rendang,2.40,7.00,0.50,3.30,67200.0
Sayur lodeh,2.40,7.00,0.50,3.30,56200.0
Gado Gado,2.40,7.00,0.50,3.30,55200.0
Rawon,2.40,7.00,0.50,3.30,62200.0
Ketoprak,2.40,7.00,0.50,3.30,54700.0
Siomay,2.40,7.00,0.50,3.30,51200.0
Nasi Goreng,2.60,7.00,0.50,3.30,57400.0
Indomie,2.60,7.00,0.50,3.30,44400.0
Bakso ayam,2.60,7.00,0.50,3.30,54400.0
Sate,2.60,7.00,0.50,3.30,58400.0
Rendang,2.60,7.00,0.50,3.30,67400.0
Sayur lodeh,2.60,7.00,0.50,3.30,56400.0
Gado Gado,2.60,7.00,0.50,3.30,55400.0
Rawon,2.60,7.00,0.50,3.30,62400.0
Ketoprak,2.60,7.00,0.50,3.30,54900.0
Siomay,2.60,7.00,0.50,3.30,51400.0
Nasi Goreng,0.80,8.50,0.50,3.30,56950.0
Indomie,0.80,8.50,0.50,3.30,43950.0
Bakso ayam,0.80,8.50,0.50,3.30,53950.0
Sate,0.80,8.50,0.50,3.30,57950.0
Rendang,0.80,8.50,0.50,3.30,66950.0
Sayur lodeh,0.80,8.50,0.50,3.30,55950.0
Gado Gado,0.80,8.50,0.50,3.30,54950.0
Rawon,0.80,8.50,0.50,3.30,61950.0
Ketoprak,0.80,8.50,0.50,3.30,54450.0
Siomay,0.80,8.50,0.50,3.30,50950.0
Nasi Goreng,1.00,8.50,0.50,3.30,57150.0
Indomie,1.00,8.50,0.50,3.30,44150.0
Bakso ayam,1.00,8.50,0.50,3.30,54150.0
Sate,1.00,8.50,0.50,3.30,58150.0
Rendang,1.00,8.50,0.50,3.30,67150.0
Sayur lodeh,1.00,8.50,0.50,3.30,56150.0
Gado Gado,1.00,8.50,0.50,3.30,55150.0
Rawon,1.00,8.50,0.50,3.30,62150.0
Ketoprak,1.00,8.50,0.50,3.30,54650.0
Siomay,1.00,8.50,0.50,3.30,51150.0
Nasi Goreng,1.20,8.50,0.50,3.30,57350.0
Indomie,1.20,8.50,0.50,3.30,44350.0
Bakso ayam,1.20,8.50,0.50,3.30,54350.0
Sate,1.20,8.50,0.50,3.30,58350.0
Rendang,1.20,8.50,0.50,3.30,67350.0
Sayur lodeh,1.20,8.50,0.50,3.30,56350.0
Gado Gado,1.20,8.50,0.50,3.30,55350.0
Rawon,1.20,8.50,0.50,3.30,62350.0
Ketoprak,1.20,8.50,0.50,3.30,54850.0
Siomay,1.20,8.50,0.50,3.30,51350.0
Nasi Goreng,1.40,8.50,0.50,3.30,57550.0
Indomie,1.40,8.50,0.50,3.30,44550.0
Bakso ayam,1.40,8.50,0.50,3.30,54550.0
Sate,1.40,8.50,0.50,3.30,58550.0
Rendang,1.40,8.50,0.50,3.30,67550.0
Sayur lodeh,1.40,8.50,0.50,3.30,56550.0
Gado Gado,1.40,8.50,0.50,3.30,55550.0
Rawon,1.40,8.50,0.50,3.30,62550.0
Ketoprak,1.40,8.50,0.50,3.30,55050.0
Siomay,1.40,8.50,0.50,3.30,51550.0
Nasi Goreng,1.60,8.50,0.50,3.30,57750.0
Indomie,1.60,8.50,0.50,3.30,44750.0
Bakso ayam,1.60,8.50,0.50,3.30,54750.0
Sate,1.60,8.50,0.50,3.30,58750.0
Rendang,1.60,8.50,0.50,3.30,67750.0
Sayur lodeh,1.60,8.50,0.50,3.30,56750.0
Gado Gado,1.60,8.50,0.50,3.30,55750.0
Rawon,1.60,8.50,0.50,3.30,62750.0
Ketoprak,1.60,8.50,0.50,3.30,55250.0
Siomay,1.60,8.50,0.50,3.30,51750.0
Nasi Goreng,1.80,8.50,0.50,3.30,57950.0
Indomie,1.80,8.50,0.50,3.30,44950.0
Bakso ayam,1.80,8.50,0.50,3.30,54950.0
Sate,1.80,8.50,0.50,3.30,58950.0
Rendang,1.80,8.50,0.50,3.30,67950.0
Sayur lodeh,1.80,8.50,0.50,3.30,56950.0
Gado Gado,1.80,8.50,0.50,3.30,55950.0
Rawon,1.80,8.50,0.50,3.30,62950.0
Ketoprak,1.80,8.50,0.50,3.30,55450.0
Siomay,1.80,8.50,0.50,3.30,51950.0
Nasi Goreng,2.00,8.50,0.50,3.30,58150.0
Indomie,2.00,8.50,0.50,3.30,45150.0
Bakso ayam,2.00,8.50,0.50,3.30,55150.0
Sate,2.00,8.50,0.50,3.30,59150.0
Rendang,2.00,8.50,0.50,3.30,68150.0
Sayur lodeh,2.00,8.50,0.50,3.30,57150.0
Gado Gado,2.00,8.50,0.50,3.30,56150.0
Rawon,2.00,8.50,0.50,3.30,63150.0
Ketoprak,2.00,8.50,0.50,3.30,55650.0
Siomay,2.00,8.50,0.50,3.30,52150.0
Nasi Goreng,2.20,8.50,0.50,3.30,58350.0
Indomie,2.20,8.50,0.50,3.30,45350.0
Bakso ayam,2.20,8.50,0.50,3.30,55350.0
Sate,2.20,8.50,0.50,3.30,59350.0
Rendang,2.20,8.50,0.50,3.30,68350.0
Sayur lodeh,2.20,8.50,0.50,3.30,57350.0
Gado Gado,2.20,8.50,0.50,3.30,56350.0
Rawon,2.20,8.50,0.50,3.30,63350.0
Ketoprak,2.20,8.50,0.50,3.30,55850.0
Siomay,2.20,8.50,0.50,3.30,52350.0
Nasi Goreng,2.40,8.50,0.50,3.30,58550.0
Indomie,2.40,8.50,0.50,3.30,45550.0
Bakso ayam,2.40,8.50,0.50,3.30,55550.0
Sate,2.40,8.50,0.50,3.30,59550.0
